column_name,description,data_type
id,Unique identifier of the network connection,Integer
dur,Duration of the network connection,Numeric
proto,Network protocol used,Categorical
service,Network service used,Categorical
state,Connection state,Categorical
spkts,Number of packets sent,Numeric
dpkts,Number of packets received,Numeric
sbytes,Number of bytes sent,Numeric
dbytes,Number of bytes received,Numeric
rate,Connection data rate,Numeric
sttl,Source to destination time-to-live value,Numeric
dttl,Destination to source time-to-live value,Numeric
sload,Source bits per second,Numeric
dload,Destination bits per second,Numeric
sloss,Number of packets lost from the source,Numeric
dloss,Number of packets lost from the destination,Numeric
sinpkt,Average interval between packets from the source,Numeric
dinpkt,Average interval between packets from the destination,Numeric
sjit,Source packet jitter,Numeric
djit,Destination packet jitter,Numeric
swin,Source TCP window advertisement value,Numeric
stcpb,Source TCP base sequence number,Numeric
dtcpb,Destination TCP base sequence number,Numeric
dwin,Destination TCP window advertisement value,Numeric
tcprtt,TCP round trip time,Numeric
synack,Time between SYN and SYN-ACK packets,Numeric
ackdat,Time between SYN-ACK and ACK packets,Numeric
smean,Mean packet size from the source,Numeric
dmean,Mean packet size from the destination,Numeric
trans_depth,Transaction depth of the HTTP request or response,Numeric
response_body_len,Length of the HTTP response body,Numeric
ct_srv_src,Count of connections having the same service and source within a time window,Numeric
ct_state_ttl,Count of connections having the same state and TTL within a time window,Numeric
ct_dst_ltm,Count of connections to the same destination within a time window,Numeric
ct_src_dport_ltm,Count of connections from the same source to the same destination port within a time window,Numeric
ct_dst_sport_ltm,Count of connections from the same destination to the same source port within a time window,Numeric
ct_dst_src_ltm,Count of connections having the same destination and source within a time window,Numeric
is_ftp_login,Whether the connection contains a valid FTP login,Binary
ct_ftp_cmd,Number of FTP commands in the connection,Numeric
ct_flw_http_mthd,Number of HTTP methods in the connection,Numeric
ct_src_ltm,Count of connections from the same source within a time window,Numeric
ct_srv_dst,Count of connections having the same service and destination within a time window,Numeric
is_sm_ips_ports,Whether source and destination IPs and ports are the same,Binary
label,Whether the network connection is an attack or normal traffic,Binary
